customer_id,customer_name,email,city,state,created_date,load_type
,Reva Taneja,basuunni@example.org,Nashik,Haryana,2026-05-03,DELTA
CUSTD2026050300002,Ranbir Kanda,invalid_email,Raipur,Rajasthan,2026-05-03,DELTA
CUSTD2026050300004,Praneel Jaggi,advay51@example.com,Katihar,Telangana,2026-05-03,DELTA
CUSTD2026050300004,Osha Kota,magartimothy@example.net,Pimpri-Chinchwad,Madhya Pradesh,2026-05-03,DELTA
CUSTD2026050300005,Devansh Oza,madhav11@example.net,Pudukkottai,Himachal Pradesh,2026-05-03,DELTA
CUSTD2026050300006,Manbir Raju,gautami17@example.org,Singrauli,Rajasthan,2026-05-03,DELTA
CUSTD2026050300007,Pallavi Mody,mallickudant@example.org,Hospet,Himachal Pradesh,2026-05-03,DELTA
CUSTD2026050300008,Aadi Chander,dadahritik@example.org,Shahjahanpur,Nagaland,2026-05-03,DELTA
CUSTD2026050300009,Pratyush Mahal,wahab26@example.com,Jehanabad,Uttarakhand,2026-05-03,DELTA
CUSTD2026050300010,Faris Varkey,surxiti@example.net,Anantapur,Assam,2026-05-03,DELTA
CUSTD2026050300011,Isaiah Pal,william69@example.net,Kakinada,Himachal Pradesh,2026-05-03,DELTA
CUSTD2026050300012,Aahana Walla,ayushmander@example.net,Dhanbad,Mizoram,2026-05-03,DELTA
CUSTD2026050300013,Ekaraj Bandi,sahaeshana@example.com,Madanapalle,Nagaland,2026-05-03,DELTA
CUSTD2026050300014,Raghav Halder,raoupma@example.net,Pali,Uttar Pradesh,2026-05-03,DELTA
CUSTD2026050300015,Bhavna Badal,chanakyasekhon@example.com,Naihati,Odisha,2026-05-03,DELTA
CUSTD2026050300016,Qushi Mall,vartyjack@example.org,Sultan Pur Majra,Bihar,2026-05-03,DELTA
CUSTD2026050300017,Henry Sathe,gpingle@example.org,Mahbubnagar,Goa,2026-05-03,DELTA
CUSTD2026050300018,Lavanya Narasimhan,wishimann@example.net,Raichur,Tamil Nadu,2026-05-03,DELTA
CUSTD2026050300019,Rohan Guha,vohrajanya@example.net,Kharagpur,Telangana,2026-05-03,DELTA
CUSTD2026050300020,Aahana Korpal,turvi81@example.org,Hazaribagh,Nagaland,2026-05-03,DELTA
CUSTD2026050300021,Abhimanyu Singh,lkhare@example.org,Khora ,Manipur,2026-05-03,DELTA
CUSTD2026050300022,Tejas Bajaj,hvohra@example.com,Warangal,Haryana,2026-05-03,DELTA
CUSTD2026050300023,Eta Nayak,chadjackson@example.org,Madhyamgram,Maharashtra,2026-05-03,DELTA
CUSTD2026050300024,Janani Chandran,senguptayadavi@example.com,Cuttack,Himachal Pradesh,2026-05-03,DELTA
CUSTD2026050300025,Upadhriti Saran,bhataachal@example.net,Hapur,Punjab,2026-05-03,DELTA
CUSTD2026050300026,Nisha Mutti,lchanda@example.com,Bihar Sharif,West Bengal,2026-05-03,DELTA
CUSTD2026050300027,Charvi Sastry,gagan96@example.org,Chapra,West Bengal,2026-05-03,DELTA
CUSTD2026050300028,Ekalinga Lalla,bailgaurika@example.com,Bijapur,West Bengal,2026-05-03,DELTA
CUSTD2026050300029,Onkar Prasad,imaransama@example.com,Suryapet,Uttarakhand,2026-05-03,DELTA
CUSTD2026050300030,Teerth Bava,yraval@example.net,Shivpuri,Kerala,2026-05-03,DELTA
CUSTD2026050300031,Aahana Mishra,akshaykhosla@example.org,Ongole,Odisha,2026-05-03,DELTA
CUSTD2026050300032,Aditya Ravel,dominic12@example.com,Howrah,Uttar Pradesh,2026-05-03,DELTA
CUSTD2026050300033,Raksha Kaur,ukapur@example.org,Sasaram,Arunachal Pradesh,2026-05-03,DELTA
CUSTD2026050300034,Liam Dhingra,wdar@example.com,Tirunelveli,Gujarat,2026-05-03,DELTA
CUSTD2026050300035,Ishita Gole,fagarwal@example.com,Malegaon,West Bengal,2026-05-03,DELTA
CUSTD2026050300036,Hemal Nayak,janijoshua@example.com,Jhansi,Karnataka,2026-05-03,DELTA
CUSTD2026050300037,Laban Sethi,butalakabir@example.org,Mira-Bhayandar,Rajasthan,2026-05-03,DELTA
CUSTD2026050300038,Charan Ganesan,udant04@example.net,Chittoor,Telangana,2026-05-03,DELTA
CUSTD2026050300039,Anay Setty,pradhanthomas@example.org,Solapur,Karnataka,2026-05-03,DELTA
CUSTD2026050300040,Chakrika Tripathi,ekiyasachdeva@example.org,Sonipat,Gujarat,2026-05-03,DELTA
CUSTD2026050300041,Yashodhara Kuruvilla,wazirradhakrishnan@example.com,Bhubaneswar,Kerala,2026-05-03,DELTA
CUSTD2026050300042,Oeshi Kulkarni,unni16@example.com,Pudukkottai,Gujarat,2026-05-03,DELTA
CUSTD2026050300043,Sarthak Deo,gopalsaraf@example.net,Kirari Suleman Nagar,Andhra Pradesh,2026-05-03,DELTA
CUSTD2026050300044,Yauvani Dugal,nattgayathri@example.com,Chandigarh,Chhattisgarh,2026-05-03,DELTA
CUSTD2026050300045,Harish Gokhale,halderrobert@example.com,Solapur,Meghalaya,2026-05-03,DELTA
CUSTD2026050300046,Daksha Lata,jasmit76@example.net,Amaravati,Tripura,2026-05-03,DELTA
CUSTD2026050300047,Matthew Padmanabhan,nirjaseth@example.org,Shivpuri,Bihar,2026-05-03,DELTA
CUSTD2026050300048,Caleb Kari,jeevika74@example.org,Mau,Madhya Pradesh,2026-05-03,DELTA
CUSTD2026050300049,Orinder Joshi,battakalpit@example.org,Mangalore,Chhattisgarh,2026-05-03,DELTA
CUSTD2026050300050,Shivani Chand,trajan@example.org,Nellore,Telangana,2026-05-03,DELTA
CUSTD2026050300051,Frado Seth,dominicbhatti@example.org,Guntur,Punjab,2026-05-03,DELTA
CUSTD2026050300052,Riya Anand,christophersama@example.com,Bardhaman,Chhattisgarh,2026-05-03,DELTA
