customer_id,customer_name,email,city,state,created_date,load_type
,Aryan Maharaj,udantdewan@example.net,Bongaigaon,Assam,2026-05-01,FULL
CUST000002,Azad Balan,invalid_email,Kishanganj,Gujarat,2026-05-01,FULL
CUST000004,Thomas Sen,abeer26@example.com,Bhatpara,Gujarat,2026-05-01,FULL
CUST000004,Harsh Chanda,wchatterjee@example.com,Varanasi,Telangana,2026-05-01,FULL
CUST000005,Jeet Radhakrishnan,memonjanaki@example.net,Coimbatore,Arunachal Pradesh,2026-05-01,FULL
CUST000006,Bimala Buch,harrisonrai@example.com,Bharatpur,Goa,2026-05-01,FULL
CUST000007,Isha Kadakia,ekbal92@example.net,Ujjain,Manipur,2026-05-01,FULL
CUST000008,Anamika Kanda,daksh30@example.com,Agartala,Assam,2026-05-01,FULL
CUST000009,Divya Kala,prandhawa@example.com,Bilaspur,Chhattisgarh,2026-05-01,FULL
CUST000010,Adya Sangha,opathak@example.org,Mysore,Tripura,2026-05-01,FULL
CUST000011,Imaran Dua,pahalbhatt@example.com,Kavali,Manipur,2026-05-01,FULL
CUST000012,Advay Contractor,harini14@example.com,Malda,Andhra Pradesh,2026-05-01,FULL
CUST000013,Xiti Gokhale,misrayashica@example.net,Jamnagar,Kerala,2026-05-01,FULL
CUST000014,Aadi Naik,hbahl@example.com,Mathura,Arunachal Pradesh,2026-05-01,FULL
CUST000015,Farhan Chada,wbiswas@example.net,Warangal,Sikkim,2026-05-01,FULL
CUST000016,Noah Lanka,ikakar@example.net,Bijapur,Madhya Pradesh,2026-05-01,FULL
CUST000017,Raksha Varughese,pdara@example.org,Sonipat,Andhra Pradesh,2026-05-01,FULL
CUST000018,Thomas Amble,bhargavaveer@example.org,Bathinda,Assam,2026-05-01,FULL
CUST000019,Arya Sunder,kevinsolanki@example.org,Vellore,Gujarat,2026-05-01,FULL
CUST000020,Gunbir Sankar,pallavi67@example.net,Navi Mumbai,Arunachal Pradesh,2026-05-01,FULL
CUST000021,Harinakshi Chopra,rehaangupta@example.net,Kolhapur,Maharashtra,2026-05-01,FULL
CUST000022,Arya Shere,faqidsavant@example.net,Dhanbad,Rajasthan,2026-05-01,FULL
CUST000023,Girik Khalsa,niharikasunder@example.com,Rewa,Arunachal Pradesh,2026-05-01,FULL
CUST000024,Ladli Agate,ylanka@example.com,Bhusawal,Tamil Nadu,2026-05-01,FULL
CUST000025,Mohammed Gupta,teerth09@example.net,Satara,Arunachal Pradesh,2026-05-01,FULL
CUST000026,Vansha Thakkar,daksheshtrivedi@example.org,Coimbatore,Punjab,2026-05-01,FULL
